French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
genre,kind
frère,brother
laisser,let
laisse,leash
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
revoir,meet again
aucune,any
place,square
parle,speak
attention,Warning
voici,here is
leurs,their
corps,body
façon,way
écoute,listen
premier,first
perdu,lost
main,hand
tiens,here
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
aura,will have
filles,girls
jouer,to play
bureau,office
